event_id,distance_code,station_order,station_code,station_key,is_aid,is_finish
5,30K,1,START,START,0,0
5,30K,2,AS1,SAN_FRAN_1,1,0
5,30K,99,FINISH,FINISH_30K,0,1
5,50K,1,START,START,0,0
5,50K,2,AS1,LAKE_HUGHES_1,1,0
5,50K,3,AS2,SAW_MILL,1,0
5,50K,4,AS3,LAKE_HUGHES_2,1,0
5,50K,99,FINISH,FINISH_50K,0,1
5,50M,1,START,START,0,0
5,50M,2,AS1,SAN_FRAN_1,1,0
5,50M,3,AS2,SPUNKY_1,1,0
5,50M,4,AS3,BOUQUET_1,1,0
5,50M,5,AS4,AQUA_DULCE,1,0
5,50M,6,AS5,BOUQUET_2,1,0
5,50M,7,AS6,SPUNKY_2,1,0
5,50M,99,FINISH,FINISH_50M,0,1
5,100K,1,START,START,0,0
5,100K,2,AS1,SAN_FRAN_1,1,0
5,100K,3,AS2,SPUNKY_1,1,0
5,100K,4,AS3,BOUQUET_1,1,0
5,100K,5,AS4,AQUA_DULCE,1,0
5,100K,6,AS5,BOUQUET_2,1,0
5,100K,7,AS6,SPUNKY_2,1,0
5,100K,8,AS7,LINCOLN_CREST,1,0
5,100K,9,AS8,SPUNKY_3,1,0
5,100K,99,FINISH,FINISH_50M,0,1
5,100M,1,START,START,0,0
5,100M,2,AS1,SAN_FRAN_1,1,0
5,100M,3,AS2,SPUNKY_1,1,0
5,100M,4,AS3,BOUQUET_1,1,0
5,100M,5,AS4,AQUA_DULCE,1,0
5,100M,6,AS5,BOUQUET_2,1,0
5,100M,7,AS6,SPUNKY_2,1,0
5,100M,8,AS7,LINCOLN_CREST,1,0
5,100M,9,AS8,SPUNKY_3,1,0
5,100M,10,AS9,SAN_FRAN_2,1,0
5,100M,11,AS10,LAKE_HUGHES_1,1,0
5,100M,12,AS11,SAW_MILL,1,0
5,100M,13,AS12,LAKE_HUGHES_2,1,0
5,100M,99,FINISH,FINISH_100M,0,1
